timestamp,ETHBNT,NPXSBNT,BATBNT,DAIBNT,ENJBNT,LOCBNT,KNCBNT,RCNBNT,BNBBNT,EURSBNT,MKRBNT,ANTBNT,POWRBNT,TKNBNT,GNOBNT,POABNT,OMGBNT,ELFBNT,VIBBNT,DGDBNT,REMBNT,NMRBNT,USDB / BNT,GTOBNT,XDCEBNT,RLCBNT,REQBNT,MFTBNT,AGRIBNT,MDTBNT,MTLBNT,RDNBNT,WBTC,SANBNT,MADBNT,SNTBNT,pBTCBNT,TIXBNT,J8TBNT,PLRBNT,FXCBNT,ELETBNT,DATABNT,REALBNT,MRPHBNT,DRGNBNT,MFGBNT,FLIXXBNT,UPBNT,MYBBNT,SRNBNT,BNT-USD,RVTBNT,HEDGBNT,MNTPBNT,CEEKBNT,ABXBNT,FTXBNT,UPTBNT,XBPBNT,USDQBNT,AMPLBNT,DTRCBNT,MRGBNT,Other
1530942968000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,998.11,6152.40,0.00,0.00,0.00,2002.04,0.00,0.00,0.00,0.00,0.00,2013.20,0.00,0.00,0.00,0.00,0.00,6921.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.08,0.00,0.00,0.00,0.00,526.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1096.16,0.00,0.00,1440.60,0.00,6035.36
1531017892000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,784.32,688.06,0.00,0.00,0.00,2000.76,0.00,0.00,0.00,0.00,0.00,1489.21,0.00,0.00,0.00,0.00,0.00,3185.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,996.47,0.00,0.00,0.00,0.00,2055.76,0.00,0.00,0.00,0.00,0.00,0.00,325.63,0.00,0.00,908.27,0.00,6971.84
1531093254000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26684.35,469.78,0.00,0.00,0.00,744.03,0.00,0.00,0.00,0.00,0.00,2669.28,0.00,0.00,0.00,0.00,0.00,617.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14355.53,0.00,0.00,0.00,0.00,810.57,0.00,0.00,0.00,0.00,943.03,0.00,0.00,0.00,0.00,330.97,0.00,288.55,0.00,0.00,2583.27,1.54,16917.99
1531167486000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1856.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,512.75,0.00,0.00,0.00,0.00,0.00,1183.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,274.69,0.00,0.00,0.00,0.00,477.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,201.84,0.00,277.07,0.00,0.00,37.56,0.00,3683.80
1531241905000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1531316279000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1531387780000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1001.61,20.23,0.00,0.00,0.00,210.23,0.00,0.00,0.00,0.00,0.00,4087.66,0.00,0.00,0.00,0.00,0.00,417.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,273.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,341.39,0.00,0.00,0.00,0.00,0.19,0.00,1226.76,0.00,0.00,5121.78,4319.34,22071.55
1531459813000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11869.68,621.97,0.00,0.00,0.00,1791.97,0.00,0.00,0.00,0.00,0.00,26646.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13878.04,0.00,0.00,0.00,0.00,637.53,0.00,0.00,0.00,0.00,253.65,0.00,0.00,0.00,0.00,64.99,0.00,5055.33,0.00,0.00,6620.60,0.00,11528.12
1531532086000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30579.53,0.00,0.00,0.00,0.00,8901.12,0.00,0.00,0.00,0.00,0.00,11385.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1157.66,0.00,0.00,0.00,0.00,2204.62,0.00,63.56,0.00,0.00,3749.42,0.00,8256.58
1531603912000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22564.92,421.59,0.00,0.00,0.00,2546.56,0.00,0.00,0.00,0.00,0.00,441.54,0.00,0.00,0.00,0.00,0.00,1204.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,183.49,0.00,292.06,0.00,0.00,590.09,0.00,2052.25
