timestamp,sETH,MKR,SAI,DAI,WETH,SNX,USDC,WBTC,BAT,sUSD,CBIX7,TKN,LINK,LRC,SPANK,XCHF,REP,ZRX,DGX,ANT,RLC,GNO,RCN,DZAR,FUN,RING,cDAI,RPL,NMR,KNC,TUSD,HOT,AMPL,NEXO,PAXG,PNK,CH-ZG1235d,ULT,SAN,SNT,Other
1543904618000,0.00,5.63,8.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.09,0.00,0.25,0.25,0.00,0.73,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.77,0.00,0.00,0.00,0.00,0.00,0.00,0.25
1543976854000,0.00,7.61,5.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226.70,0.00,0.00,0.00,0.00,0.00,0.00,2.04
1544047777000,0.00,34.05,18.94,0.00,0.00,0.00,0.00,0.00,5.77,0.00,0.00,0.00,0.01,0.00,2.35,0.00,2.11,0.52,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.36,0.00,0.00,0.00,0.00,0.00,0.00,0.50
1544119637000,0.00,81.05,64.72,0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.00,0.25,0.00,36.19,0.00,1.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,12.40,0.00,0.00,0.00,30.88,0.00,0.01,0.00,0.00,0.00,0.00,0.69
1544191617000,0.00,53.88,158.97,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,190.33,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.26,0.00,20.00,0.00,0.00,0.00,0.00,0.50
1544263439000,0.00,33.35,58.62,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.00,11.31,0.00,0.41,2.98,0.00,5.75,0.00,0.00,0.00,0.00,1.76,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,16.77,0.00,0.00,0.00,0.00,0.00,0.00,1.51
1544334704000,0.00,42.68,46.72,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,1.02,0.24,0.00,30.77,0.00,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,4.01,0.00,0.00,0.00,0.00,0.00,0.00,3.17
1544405011000,0.00,36.53,93.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.50,0.00,8.74,0.00,0.52,0.00,0.00,0.00,0.00,8.57,0.00,0.00,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.38,0.00,0.00,0.00,0.00,0.00,0.00,4.03
1544475718000,0.00,14.26,95.15,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,1.00,0.50,0.00,0.02,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.49,0.00,0.00,0.00,0.00,0.00,0.00,5.76
1544547488000,0.00,12.38,80.71,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,2.00,1.41,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.26,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,4.01,0.00,0.00,0.00,0.00,0.00,0.00,8.53
