timestamp,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x0EeE7bcE7D0A676794fb8186AF5DBe7b6713806a,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x0bc7355686A264DEDDc239dD30D4D201612aEB8B,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x96FE94c07Ee88fC2A4B3E978D875202fD113e654,​0x82da82DBe384736e4Dd95615D8036Cc472773F5A,​0xef764BAC8a438E7E498c2E5fcCf0f174c3E3F8dB,​0xD8595ac2836B7a8040f046E751B42088436B6365,​0x54bc3fE4E8C377246aCd5b4c25705c1b4324e859,​0x2C4Bd064b998838076fa341A83d007FC2FA50957,​0x8c2fD1F3Ae6162FD3CB3157222DC3979B42E699e,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x5D154c145Db2ca90B8aB5e8Fe3E716AfA4AB7Ff0,​0xF79Af034a5E41d70C90Bf5fFa1A79B3AC65Da72F,​0x13032DeB2d37556cf49301f713E9d7e1d1A8b169,​0x9BA6c9D09dB964771cB4D526188F6AF81e9bCF9e,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x2AF14b279C08d3627D34A5d8734c2eD771F3eF41,​0x57Ef012861c4937A76B5D6061bE800199A2b9100,​0x618b00849b3B0D42F05f7B4A64ae373B93e3d98F,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,​0x040F0c01b45Dfed88A397f9C3f00E48953d61490,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x0087366b4a4e44FCB96b7D0897d68C3dAf45780a,​0x2608E261b8df00025a6f69e13B1a4165Adf294c1,​0x74740c72e7b667344084772D2fdBB4646099c705,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x747797665F5016895682EF40513A5EDD51261B89,​0x90079aABC47b5BeA2dFC358d7114Ade57Ee39209,​0x05BB2C35cB56E149c310c5c1447d382eEda3A80d,​0xe1723E41058cb01859E9826022a390DC68a9AB71,​0xA2345C7DB212Ab9c478B1C206fB9b14C0E7c11C7,​0x074976a8D5F07dA5DADa1Eb248AD369a764bB373,​0x00B8FE7C85998bbAB5e71D2378e927B554b6d78f,Other
1557964138000,,34.25,,7.82,,,,,,,,12.37,,176.80,,,,,,0.02,60.09,,,24.81,,4.34,4.47,,,12.10,,,,,,,5.00,
1558032652000,,35.20,,7.00,,,,,,,,87.46,15.98,194.59,,,,,,,19.98,,,188.44,,,38.88,,10.00,,,,,,2.50,,148.27,2.70
1558099488000,,11.84,,,,,,,,,,98.38,,171.84,,,,,,0.03,,,,262.71,,,34.66,,,,,,,,,,47.70,
1558166754000,,5.23,,,,,,,,,,91.41,,6.00,,,,,,,,,,75.47,,,9.51,,,4.34,,,,,,,31.80,5.30
1558234852000,,7.01,,,,,,,,,,46.88,9.97,21.90,,,,,,,,,,23.06,,,9.08,,,,,,,,,,26.69,
1558301987000,,,,,,,,,,,,32.21,,11.35,,,,,,,,,,21.93,,,,,,,,,,,,,14.82,4.42
1558370897000,,7.06,,,,,,,,,,44.84,,50.69,,,,,,,,,,74.09,,,14.14,,,,,,,,,,15.97,
1558438516000,,7.11,,,,,,,,,,45.73,,32.47,,,,,,8.76,,,,33.94,,,7.84,,,,,,,,,,13.74,
1558506088000,,7.00,20.02,,,,,,,,,24.73,10.73,143.88,,,,,,,,,,85.66,,,7.92,,,7.09,,,,,,,6.87,0.46
1558573856000,,1.10,,3.31,,,,,,,,26.48,,16.77,,,,,,,,,,18.58,,,3.00,,,,,,,,,,,0.82
1558641898000,,,,7.34,,,,,,,,36.76,,33.45,,,,,,,,,,27.53,,,5.48,,,,,,,,,,,7.28
1558709678000,,1.24,,4.27,,,,,,,,56.63,,28.56,,,,,,,21.03,,,,152.36,,6.14,,,,,,,,,,90.18,7.79
1558776750000,,0.79,,,,,,,,,,39.93,,7.07,,,,,,,,,,,11.81,,1.01,,,,,,,,,,,11.10
1558842948000,,,,,,,,,,,,26.34,,10.20,,,,,,,,,,2.43,4.32,,1.00,,,,,,,,,,7.18,3.01
1558910067000,,1.52,,3.58,,,,,,,,29.24,,21.21,,,,,,,,,,11.63,23.81,,7.36,,,,,,,,,,22.64,16.48
1558977860000,,4.86,,12.97,,,,,,,,38.03,8.03,18.51,,,,,,,,,,9.32,54.48,,3.64,,,,,,,,,,34.18,0.03
1559045953000,,,,,,,,,,,,11.80,7.99,25.23,,,,,,,,,,20.00,1.80,,,,,,,,,,,,8.18,
1559112912000,,,2.53,12.91,,,,,,,,11.80,20.07,30.50,,,,,,,,,2.50,19.94,,,7.33,,26.00,,,,,,,,24.25,1.15
1559179166000,,,,,,,,,,,,23.22,,0.33,,,,,,,,,,,,,1.01,,3.35,,,,,,,,,2.72
1559247339000,,5.00,,19.84,,,,,,,,25.11,,41.30,20.00,,,,,0.00,,,,22.24,,,19.26,,,,,,,,,,41.90,12.22
1559315112000,,15.57,5.03,30.59,,,,,,,,47.25,,55.76,,,,,,,,,5.00,35.57,,,15.18,,,,,,,,,,14.32,8.24
1559382148000,,,,1.18,,,,,,,,35.23,,1.71,,,,,,0.25,,,,2.46,,,4.03,,,,,,,,,,13.08,
1559449529000,,8.50,,,,,,,,,,5.82,,22.32,,,,,,,,,,8.20,,,2.01,,,,,,,,,,,1.57
1559517685000,,,,,,,,,,,,23.14,,7.54,18.39,,,,,0.24,,,,27.46,,,7.22,76.32,,,,,,,,,39.19,0.01
1559586560000,,3.90,,9.93,,,,,,,,1.85,,41.09,,,,,,,,,,35.77,,6.79,16.57,149.95,,,,,,,,,126.99,0.04
1559653274000,,12.27,,11.76,,,,,,,,5.59,,42.19,,,,,,,,,,37.11,,,8.02,,,,,,,,,,17.26,
1559721446000,,,,19.88,,,,,,,,43.02,,47.01,,,,,,,,,,,,,6.35,,,,,,,,,,,1.98
1559788436000,,,,,,,,,,,,39.60,,6.20,,,,,,,,,,,,,,,,8.40,,,,,,,,
1559855826000,,,,7.25,,,,,,,,22.70,,7.42,,,,,,0.01,,,,,,,,,,,,,,,,,,3.83
1559923832000,,,,,,,,,,,,18.37,,11.93,12.00,,,,,,,,,7.46,,,2.49,,,,,,,,,,10.18,0.01
1559991921000,,,,,,,,,,,,5.55,,1.50,,,,,,,,,,,,,3.00,,,,,,,,,,7.93,
