timestamp,​0xE23b713BF714E0EA9A319A54a8c3eB0f6687346E,​0x107B8C8a12f24f6bfec6aB480B4C843291e1575e,​0x778FDaf34BB5993D69968f541152451241Fab7e3,​0x82da82DBe384736e4Dd95615D8036Cc472773F5A,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0xe8c816513946907e42764c0d74aa1029EE1a0F6A,​0x8a47cD7A8a2b11294Ba719c0eF856243cAcea5EA,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0x7b0bc7c2931a95f66B096fCA4D7a419302cA20E1,​0x0000000000C90bc353314b6911180ED7E06019A9,​0xdf22Ac5D9fEd8d8E67f7D0E0C255D772AEd55191,​0x80265d7e979B911EC55cC930161efE885b75b658,​0x9BA6c9D09dB964771cB4D526188F6AF81e9bCF9e,​0xea161aB775bE8374c9aed9E394D5b8711DcFc55f,​0x022ca32d31da3Ef85922AAFD9aD29C5b2418172C,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,​0x00000000016697Fa9A9C8e2889E28D3D9816A078,​0x2c9Bd9Db61eCCF16eD766b598bC5e0706c992296,​0xc7fbA841c48e84D26108B494d7BaB4B2697cC278,​0x52DD74D511753B464867D831f78DFcbf05D255d7,​0xce6a65649367a0e5Cb01ecA76169de502700D26c,​0x6d5fe1342745230063BE26117Abb4612d9876Ba5,​0xb21A1aAD487489ACd6d0aC7E9323EEfF9a6BB688,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0x498aA5830da490C85Dc4d92B410aAB86edB26c17,​0xce5702E94aD38C061e44a4a049Cc29261F992846,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x333A397F93c15d46Cb95FE34245D19Bbb0D677CC,​0x3df2001E2E7CA378Bb6f6B3b1C58b803b0d397C0,​0x022865cCce84fa9F715207D047D78a05313dC86D,​0x536956Fab86774fb55CfaAcF496BC25E4d2B435C,​0x000000001e29fcd9B1469a7954DC65ff254FFfC0,​0x88dD970bad4af1ec07917C9d4657E7D8946034cf,​0xA54da2581dd4828e4Aa00638Aab835119500A284,​0x785CfC135cd5E26f55a791D177C3cbDFB16F9fEA,Other
1568266003000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,
1568332434000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,
1568535532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,0.00
1568603177000,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,
1568871705000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,
1568939678000,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,0.70,,,,,,,,
1569142150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,
1569209597000,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,0.27,
1569276280000,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569344903000,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569412741000,,,,,0.35,,,,,,,,,,,,0.37,,,0.23,,,,,,,,,,,,,,,,,,
1569548219000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,
1569683184000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,
1569817983000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,
1569885879000,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,0.16,,,,,,,,
1569953471000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,0.01
1570021093000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,
1570088581000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1570156245000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,0.17,,,,,,,,
1570358020000,,,,,0.20,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,
1570424401000,,,,,0.35,,,,,,,,,,,,0.44,,,0.04,,,,,,,,,,,,,,,,,,
1570492273000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,
1570560314000,,,,,,,,,,,,,,,,,0.34,,,0.02,,,,,,,,,,0.19,,,,,,,,
1570628456000,,,,,0.35,,,,,,,,,,,,0.09,,,,,,,,,,,,,0.36,,,,,,,,
1570696365000,,,,,0.20,,,,,,,,,,,,0.26,,,,,,,,,,,,,0.46,,,,,,,,
1570764407000,,,,,0.10,,,,,,,,,,,,0.08,,,,,,,,,,,,,0.08,,,,,,,,
1570832121000,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,0.09,,,,,,,,
1570900657000,,,,,0.50,,,,,,,,0.25,,,,0.92,,,,,,,,,,,,,1.85,,,,,,,,
1570967603000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,0.35,,,,,,,,
1571036079000,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,0.12,,,,,,,,
1571103316000,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,
1571171084000,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,0.16,,,,,,,,
1571239896000,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,
1571376291000,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,0.04,,,,,,,,
1571444011000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,
1571512073000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
1571648150000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571783991000,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
1571920923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,
1572060724000,,,,,0.40,,,,,,,,,,,,0.16,,,,,,,,,,,,,0.46,,,,,,,,
1572129485000,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,0.00,0.40,,,,,,,,
1572198558000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,0.09,,,,,,,,
1572267917000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,
1572337649000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,
1572406531000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
1572546064000,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,
1572615810000,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,
1572822749000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,
1572893104000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,
1572962724000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,
1573031855000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,
1573101222000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,
1573171451000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,
1573240765000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,
1573455245000,,,,,0.10,,,,,,,,,,,,0.24,,,,,,,,,,,,,0.46,,,,,,,,
1573527153000,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,0.07,,,,,,,,
1573598526000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,
1573670409000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,
1573814675000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
1573886613000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,
1573958177000,,,,,,,,0.54,,,,,,,0.56,,0.08,,,,,,,,,,,,,,,,,,,,,
1574030120000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,0.14,,,,,,,,
1574102523000,,,,,0.25,,,,,,,,,,,,0.78,,,,,,,,,,,,,0.34,,,,,,,,
1574175364000,,,,,0.35,,,,,,,,,,,,0.52,,,,,,,,,,,,,0.11,,,,,,,,
1574248216000,,,,,0.15,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
1574319702000,,,,,0.10,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,
1574390894000,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,
1574463158000,,,,,0.15,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,
1574534614000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574606767000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
1574677937000,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,0.28,,
1574753753000,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,0.25,,,,,,
1574829912000,,,,,0.15,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,0.25,,,,,,
1574906610000,,,,,0.15,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,
1575059347000,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,
1575136068000,,,,,0.40,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,
1575288653000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575519604000,,,,,0.30,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,
1575596839000,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575673602000,,,,,0.20,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,
1575826602000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575979374000,,,,,,,,,,,,,,,,,0.26,,,,,,,0.24,,,,,,,,,,,,,,
1576056123000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576208669000,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576288118000,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,
1576372313000,,,,,0.10,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,
1576541361000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
1576886273000,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577057861000,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577143907000,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577402327000,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,
1577488582000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577573599000,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,
1577659927000,,,,,0.30,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,0.00
1577746179000,,,,,0.80,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,
1577832303000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577918935000,,,,,0.30,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,
1577997589000,,,,,0.10,,,,,3.23,,,,,,1.63,,,,,0.11,,,0.07,,,,,,,,,,,,,,
1578063677000,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,
1578129566000,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,0.83,0.77,,,,,
1578195701000,,,,,,,,,,,,,,,,,0.10,,,,,,,0.18,,,,,,,,,,,,,,
1578261907000,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,
1578327837000,,,,,,,,,,,,,,,,,0.09,,,,,,,0.05,,,,,,,,,,,,,,
1578393679000,,,,,,,,,,,,,,,,,0.10,,,,,,,0.09,,,,,,,,,,,,,,0.01
1578459841000,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,
1578592894000,,,,,0.45,,,,,,,,,,,,,,,,,,,0.44,,,,,0.07,,,,,,,,,
1578658814000,,,,,,,,,,,,,,,,,0.16,,,,,,,0.36,,,,,,,,,,,,,,
1578724741000,,,,,0.10,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,
1578790822000,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,
1578989540000,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,
1579055596000,,,,,0.15,,,,,,,,,,,,0.08,,,,,,,0.10,,,,,0.11,,,,,,,,,
1579122050000,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,
1579254375000,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,
1579320115000,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.00
1579386588000,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,
1579453251000,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,0.00
1579518909000,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,
1579584998000,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,
1579848954000,,,,,0.30,,,,,,,,,,,,0.08,,,,,,,,,,0.19,0.25,,,,,,,,,,
1579915579000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,
1580049245000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,
1580114658000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,
1580180893000,,,,,0.40,,,,,,,,,,,,0.12,,,,,,,,,,0.08,,0.02,,,,,,,,,
1580247630000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,
1580313366000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1580380051000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1580446477000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,
1580711822000,,,,,,,,,,,,,,,,,0.18,,,,0.11,,,,,,,,,,,,,,,,,
1580778615000,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
1580844182000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580910496000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,
1580977343000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,0.00
1581043789000,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
