timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x93a8515D674C3d3235BEEa0dE7aE3099aA34b1a5,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x706D590A91166554d8bBb3Caafb4C70418AF7144,​0x4676a9576315287659d0f9902D288bdfe49604ab,​0x97deC872013f6B5fB443861090ad931542878126,​0x0a236B41aDd0073df05EaC5Fc8505Ad745C7859D,​0x84D62A75fF6D3C3DeF8587A4ed50738efebf8a12,​0x25C40bC17E4BF2f8C23aCc99a7A38568f0890157,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x00CD1b195B403a5e3D6534afD942C928fC9217f0,​0x2AD672FDA8a042c4c78C411bF9d4f1b320aA915a,​0xF3544ac9519c5aD9438c8989c1C0C0E2754a9E47,​0x3F3e18aef051dC2b489CEf138BB9e224F78f7117,​0xDFf2AA5689FCBc7F479d8c84aC857563798436DD,​0x4ed9d4d7840c2648Bc54D17b013D7a4ec80CfCE8,​0x1814222fa8c8c1C1bf380e3BBFBd9De8657Da476,​0x2a35873a9f53D102AE222fC5d15a224BC313bcAf,​0x3a244ebbA100a4c4bA994B6F08D39333901C756b,​0xbD2a43799B83d9d0ff56B85d4c140bcE3d1d1c6c,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,Other
1582970808000,8.90,,,,,,,,,0.22,,,,25.53,,,,,,,,
1583103301000,8.25,,,,,13.61,,,,10.69,,,,6.07,,,,,,,,
1583168974000,,,,,,,,,,8.86,,,,9.42,,,,,,,,
1583235956000,5.32,,,,,,,,,7.58,,,,,,,,,,,,
1583302077000,11.48,,,,,,,,,5.89,,,,5.39,,,,,,,,
1583368317000,6.27,,,,,0.08,,,,23.21,,,,,,,,,,,,
1583435384000,,,,,,,,,,12.91,,,,,,,,,,,,
1583502285000,,,,,,,,,,35.13,,,,,,,3.54,,,,,
1583567810000,0.00,,,,,,,,,10.30,,,,,,,1.04,,,,,0.01
1583633541000,,,,,,3.66,,,,20.16,,,,,,,0.72,,,,,
1583699841000,0.95,,,,,6.78,,,,14.68,,,,,,,16.99,,,,,
1583767163000,9.08,,,,,10.58,,,,37.39,,,,,,,25.54,,,,,
1583833348000,1.63,,,,,21.16,,,15.83,24.46,,,,,,,47.29,,,,,
1583900197000,,,,,,5.96,,,,13.64,,,,,,,0.44,,,,,
1583966404000,,,,,,22.23,,,,17.35,,,,,,,29.93,,,,,
1584033400000,22.53,,,,,95.47,,,,45.63,,,,,,,27.47,,,,,
1584100621000,81.00,,,,,105.35,,,,199.15,,,,,,,11.50,,,,,
1584168330000,,,,,,102.43,,,,180.41,,,,,,,14.57,,,,,
1584234522000,,,,,,20.75,,,,57.66,,,,,,,39.62,,,,,
1584300469000,,,,,,20.37,6.51,,,27.00,,,,,,,4.92,,,,,
1584367227000,,,,,,79.86,,,,89.79,,,,,,,14.85,,,21.98,,
1584434720000,,,,,,2.72,,,,40.36,,,,,,,2.72,,,20.53,,
1584500082000,0.09,,,,,20.74,22.48,,,14.42,,,,,,,3.31,,,40.17,,0.24
1584566455000,,,,,,21.57,,,,66.22,,,,,,,,,10.25,10.65,,0.05
