timestamp,​0x00000000016697Fa9A9C8e2889E28D3D9816A078,​0xA54da2581dd4828e4Aa00638Aab835119500A284,​0x785CfC135cd5E26f55a791D177C3cbDFB16F9fEA,​0x580EC301c868968A051766880BA02dCfDb8Ec8a6,​0x96FE94c07Ee88fC2A4B3E978D875202fD113e654,​0xce5702E94aD38C061e44a4a049Cc29261F992846,​0xeE7F212545b3c388f8fD176f83bDff85F3Dcea7D,​0x859b1fDF23485f03eE54D3F942D5D05e1A6e9676,​0x778FDaf34BB5993D69968f541152451241Fab7e3,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x107B8C8a12f24f6bfec6aB480B4C843291e1575e,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0x40ddBf3BdE9c33661C8B4a4E9045eE7Ade9E7102,​0x9BA6c9D09dB964771cB4D526188F6AF81e9bCF9e,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0xAfd9034Aba776D09C52b573c0b8bEcfd2b22FB5a,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0x5827696E05e587Ba62d2C0773AcE3426895E3155,​0xbcdCD3f4576440840a66076A8ECFeFA8123c8CB2,​0x022865cCce84fa9F715207D047D78a05313dC86D,​0x514fd3B8109CFB7CDe4b17e4912fd56690c23145,​0x5aB9d116a53EF41063E3EaE26A7eBe736720E9bA,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0x202F6106F293AF455412Eb41c443d13adB6867A9,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x6076DC93F53E429aadcE69A4373C6EFC1f843f71,​0xfc96e234d4B31C63051E707105fCC4aba37807Fa,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x0668C3BE26661f11d64a38aDDb4d2d8bEb5788F8,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0xea161aB775bE8374c9aed9E394D5b8711DcFc55f,​0x7b0bc7c2931a95f66B096fCA4D7a419302cA20E1,Other
1576627001000,,,,,,,,,,,,,,,,0.56,,,,,,,,0.54,,,,,,,,,,,,,,,,,
1576713534000,,,,,,,,,,,,,,,,,,,,,1.27,,,,,,,,,,,,,,,,,,,,
1576799699000,,,,,,,,,,,,,0.41,,,,,,,0.66,,,,0.25,,,,,,,,,,,,,,,,,
1576886273000,,,,,,,,,,,1.10,,,,,0.45,,,,,,,,1.37,,,,,,,,,,,,0.54,,,,,
1576971438000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,
1577057861000,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577143907000,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,
1577229621000,,,,,,,,,,,,,,,,,,,,0.69,,,,0.12,0.51,,,,,,,,,,,,,,,,
1577402327000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
1577488582000,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,
1577573599000,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577659927000,,,,,,,,,,,0.42,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,
1577832303000,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,
1577918935000,,0.33,,,,,,,,,,,,,,,,,,,,,,0.28,1.00,,,,,,,,,,,0.97,,,,,
1577997589000,,0.96,,,,,,,,,,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,
1578063677000,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,0.03,,,,,
1578129566000,,,,,,,,,,,,,0.43,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,
1578459841000,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578526345000,,,,,,0.53,,,,,0.10,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,
1578658814000,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,
1578724741000,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,
1578857025000,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,
1579055596000,,0.26,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579122050000,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,
1579188604000,,,,,,0.25,,,,,,,,,,,,,,0.48,,,,0.36,0.50,,,,,,,,,,,0.29,,,,,
1579320115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579453251000,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579584998000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579717286000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1579848954000,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,
1580114658000,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,
1580180893000,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,
1580380051000,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,
1580446477000,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,
1580512997000,,,,,,0.83,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580579921000,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,0.00,,,,,
1580645575000,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,
1580844182000,,,,,,0.26,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,0.33,0.80,,,,,
1580910496000,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581177428000,,,,,,0.26,,,,,0.30,,,,,,,,,,,,,,1.50,,,,,,,,,,0.81,,,,,,0.20
1581243665000,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,
1581375300000,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.52,,,,,,,,,,1.11,,,,,,
1581441429000,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,
1581508790000,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,
1581574720000,,,,,,0.25,,,,,0.25,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,
1581641265000,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,
1581707956000,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,0.33,,,,,,,,,,,,
1581774043000,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,0.18,,,,,
1581841298000,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,
1582040665000,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,
1582106715000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,
1582173039000,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,
1582240159000,,,,,,,,,,,0.80,,,,,,,,,,,,,0.37,,,,,1.85,,,,,,,0.40,,,,,
1582306851000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
1582372667000,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582571821000,,,,,,,,,,,0.10,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,
1582705647000,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,0.22,,,,,,,,,,,,
1582771019000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,0.58,,,,,
1582837876000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,
1583368317000,,,,,,1.77,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,
1583435384000,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,
1583502285000,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,
1583567810000,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,
1583633541000,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,
1583699841000,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583966404000,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,
1584100621000,,,,,,,,,,,,,,,,,,,0.95,,,,,0.59,,,,,,,,,,,,,,,,,
1584168330000,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,0.63,,,,,
1584234522000,,,,,,0.52,,,,,0.25,,,,,,,,,,,,,0.88,,,,,0.28,0.86,,,,,,1.50,,,,,
1584300469000,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584367227000,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,0.35,,,,,,,1.13,,,,,
1584500082000,,,,,,,,,,,0.20,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,
1584632903000,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,
1584699859000,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584766483000,,,,,,0.52,,,,,,,,,,,,,,,,,,0.73,0.51,,,,,,,,,,,,,,,,
1585105600000,,,,,,0.26,,,,,0.25,,,,,,,,,,,,,,0.82,,,,,0.27,,,,,,,,,,,
1585372283000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,
1585571105000,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.51,0.40,,,,0.59,,,,,,0.17,,,,,
1585637238000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1585770840000,,,,,,,,,,,0.10,,,,,,,,,,,0.25,,0.34,,,,,,0.52,,,,,,1.33,,,,,0.07
1585836257000,,,,,,,,0.56,,,0.15,,,,,,,0.34,,,,0.25,0.75,,0.51,,,,,0.63,,,,,,1.86,,,,,
1585903293000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,
1585969610000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,
1586236183000,,,,,,,,,,,0.35,,,,,,,,,,,,,0.29,,,,0.81,,0.98,,,,,,0.38,,,,,
1586434964000,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,
1586501245000,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586568529000,,,,,,,0.40,,,,0.36,,,,,,,0.34,,,,,,,0.75,,,,,,1.38,,,,,,,,,,
1586635021000,,,,,,,1.65,,,,0.30,,,,,,,,,,,,,,,,,,,0.42,,,,,,0.19,0.31,,,,
1586833705000,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587099968000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,0.20
1587234387000,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587368133000,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587501138000,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,
1587701744000,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,0.23,,,,
1587768625000,,,,0.78,,,,,,,,,,,,,,0.41,,,,,,,0.50,,,,,,,0.82,,,,,,,,,
